Id,Nombre,Institucion,Evento,Ciudad,Lugar,Formato,Fecha,Fecha.inicio,Fecha.fin,anio,Tipo,Cantidad,Rol,Links,observation
346,Introducción al ABC para enseñar Online,LatinR,,,Latin America,Online,02/10/2020,2/10/2020,,2020,Course,28,Teacher,"https://github.com/LatinR/talleres-2020, https://www.meetup.com/es/rladies-santa-rosa/events/273506766/",
5,Introduction to online teaching essentials,,,,Global,Online,18/06/2020,18/6/2020,,2020,Course,,Organizer,https://yabellini.netlify.app/courses/intro-abc-online/,
5,Introduction to online teaching essentials,,,,Global,Online,20/06/2020,20/6/2020,,2020,Course,,Organizer,https://yabellini.netlify.app/courses/intro-abc-online/,
2706,Los datos lo cambian todo: Big Data- sensores remotos e inteligencia artificial.,,Congreso Maizar 4.0,,Argentina,Online,30/06/2020,30/6/2020,,2020,Panel,1000,Speaker,,
6,Mujeres en STEAM. ¿Quién es Yanina Bellini Saibene?,Las de Sistemas,,,Argentina,Online,26/06/2020,26/6/2020,,2020,Podcast,200,Speaker,https://youtu.be/_SmnmK6DgOg,
2705,Panel: Supporting Diversity in the R Community,R Foundation,useR! 2020,,Global,Online,17/07/2020,17/7/2020,,2020,Panel,100,Speaker,,
2704,Practicas efectivas para realizar eventos Online.,Comunidades de transferencia y extensión tecnológica en España.,,,España,Online,07/09/2020,7/9/2020,,2020,Panel,25,Speaker,,
7,Predictive modeling with text using tidy data principles.,R Foundation,useR! 2020,,Global,Online,24/07/2020,24/7/2020,,2020,Course,80,Organizer,https://www.meetup.com/es/rladies-santa-rosa/events/271927045/,
2703,Presentación de la Plataforma de Asistencia Estadística de INTA.,INTA,INTA,,Argentina,Online,18/11/2020,18/11/2020,,2020,Panel,100,Organizer,,
,Primeros pasos con GIT,R-Ladies,,,Argentina,Online,2020-05-18,18/5/2020,,2020,Talk,,Speaker,https://www.meetup.com/es/rladies-santa-rosa/events/270668823/,
2815,Desafios AgTech,,,Buenos Aires,Latin America,Online ,2020-11-03,3/11/2020,,2020,Hackathon,200,Jury,https://desafiosagtech.com/,
2701,R-Ladies Global- a worldwide organisation to promote gender diversity in the R community,,EGU General Assembly 2020,,Global,Online,08/05/2020,8/5/2020,,2020,Lightning talk,25,Speaker,,
,Radar Meteorológico: uso e interpretación de su información.,,XVIII Reunión Argentina y IX Latinoamericana de Agrometeorología 2020,,Argentina,Online,23/11/2020,23/11/2020,,2020,Course,20,Teacher,,
8,RStudio Instructor Certification Webinar,MiR Community,Webinar,"Saint Luis, USA",Global,Online,12/06/2020,12/6/2020,,2020,Panel,60,Speaker,https://youtu.be/582tMkPvloU,
,Segunda edición del curso de radar meteorológico.,INTA,,,Argentina,Online,03/07/2020,3/7/2020,,2020,Course,18,Teacher,,
,Seminario online: Uso y análisis de imágenes satelitales en el Agro,INTA,,,Argentina,Online,11/11/2020,11/11/2020,,2020,Course,40,Teacher,,
,Taller de Imagenes satelitales para uso agropecuario,INTA,,,Argentina,Online,2020-11-17,17/11/2020,,2020,Talk,,Speaker,https://inta.gob.ar/eventos/uso-y-analisis-de-imagenes-satelitales-en-el-agro,
,Text Mining o minería de textos.,INTA,,,Argentina,Online,25/09/2020,25/9/2020,,2020,Invited Talk,60,Speaker,,
,useR! 2020. The R Global Conference.,RFoundation,,,Global,Online,2020,,,2020,Conference,2000,Organizer,,
,Visualización,UNAB,,,Argentina,Online,,,,2020,Course,25,Teacher,,
2702,Procesando datos espaciales con R.,,Desafios AgTech.,,Latin America,Online,3/11/2020,3/11/2020,,2020,Course,100,Teacher,,
